,Predicted Beta,Calculated Beta,Norms,Times,,Average Norm,Average Pred Beta,Average Calc,Time Sum
146,47.34607043,45,1.519200388,90.03558946,,,,,
147,51.98134993,51,1.754828351,148.4069865,,,,,
148,42.49050655,37,1.297303198,76.61934328,,,,,
149,48.70718773,50,1.58662305,135.1279044,,,,,
150,46.83163292,40,1.488866852,79.75375986,,,,,
151,47.91674391,49,1.545016791,126.1021724,,,,,
152,37.17367682,45,1.091094559,85.02746439,,,,,
153,42.34867141,44,1.282975296,83.93260455,,,,,
154,52.08048675,41,1.773127389,75.64493966,,,,,
155,58.47878162,61,2.165810552,613.5840688,,,,,
156,48.2834581,54,1.562290872,214.7327995,,,,,
157,49.26516467,48,1.607704213,114.0339005,,,,,
158,49.77292931,43,1.637276184,86.035496,,,,,
159,42.14666585,41,1.282117392,79.35152221,,,,,
160,46.6442698,42,1.483884703,72.88996863,,,,,
161,51.13187632,45,1.716894354,89.35602212,,,,,
162,48.83247793,45,1.590579675,83.71048927,,,,,
163,47.08332207,44,1.490830557,88.99292564,,,,,
164,44.3144513,44,1.367384212,86.18955588,,,,,
165,47.40237849,42,1.519915752,79.77717876,,,,,
166,43.56785703,48,1.337232683,115.8248684,,,,,
167,47.69971075,49,1.528262377,128.428714,,,,,
168,43.22316425,38,1.32090748,69.01846719,,,,,
169,50.27584315,50,1.667144258,139.9359496,,,,,
170,52.05686848,43,1.761969657,76.17027426,,,,,
171,40.83460306,42,1.231215382,78.5271914,,,,,
172,33.8735171,34,0.986030893,66.51351237,,,,,
173,46.44706027,47,1.471374211,105.6157515,,,,,
174,49.61471223,43,1.62967987,78.78017855,,,,,
175,43.56580835,40,1.341236733,76.52002764,,,,,
176,47.04200049,44,1.495024482,85.01690865,,,,,
177,52.41816182,49,1.786746228,126.8454373,,,,,
178,50.5779353,54,1.686439105,213.9364088,,,,,
179,45.73813173,46,1.437613906,100.0853989,,,,,
180,44.61471613,33,1.384312315,68.03657007,,,,,
181,50.94956606,48,1.710647667,129.1965652,,,,,
182,45.6852755,48,1.430028815,113.9232028,,,,,
183,50.14214172,48,1.650110891,115.6118917,,,,,
