,Predicted Beta,Calculated Beta,Norms,Times,Average Predicted Beta,Average Calculated Beta,Average Norms,Average Times
0,41.44157071,39,75.22857143,58.28295851,43.22433726,42.12,68.30582857,75.80592255
1,47.00061503,48,106.7928571,85.57391143,,,,
2,45.08234258,42,78.52857143,62.53042173,,,,
3,36.99093883,38,54.54285714,59.67290282,,,,
4,41.33454986,47,52.02142857,93.10993242,,,,
5,46.32707868,50,66.41428571,120.5871809,,,,
6,42.98571403,43,63.1,67.02033305,,,,
7,38.81636499,45,63.70714286,75.54141402,,,,
8,42.33996317,39,62.32857143,57.66037941,,,,
9,43.08620808,35,71.67857143,60.15204644,,,,
10,50.21035157,44,80.07142857,70.42134356,,,,
11,41.57187509,32,60.83571429,53.45571256,,,,
12,40.75721473,44,42.95,69.1890502,,,,
13,44.61925692,46,73.54285714,79.27776504,,,,
14,46.93196051,45,66.97857143,78.82748938,,,,
15,45.0198384,37,53.30714286,55.14264178,,,,
16,40.79363525,40,91.92857143,62.35385227,,,,
17,46.11605377,49,79.82857143,101.4403164,,,,
18,43.29720673,38,71.55714286,61.60337639,,,,
19,36.66373639,41,58.43571429,64.29828286,,,,
20,46.44701699,45,72.35714286,73.47884035,,,,
21,41.6780832,39,79.7,61.53751087,,,,
22,46.31706275,39,89.82857143,60.57989621,,,,
23,46.95159224,36,85.52857143,58.13528466,,,,
24,50.67281603,47,111.5142857,87.90674829,,,,
25,42.09860515,43,59.07857143,65.25277281,,,,
26,43.10848683,40,57.21428571,62.57925463,,,,
27,48.48786238,36,69.88571429,61.37321162,,,,
